PL_NAME,SPEC_TYPE,AUTHORS,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE
Kepler-6 b,Emission,D&eacute;sert et al. 2011,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 2
Kepler-20 c,Transmission,D&eacute;sert et al. 2015,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,
Kepler-20 c,Transmission,D&eacute;sert et al. 2015,1,Kepler CCD Array,The Kepler Mission,0.6,0.6,,,
55 Cnc e,Emission,Demory et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,Table 2
55 Cnc e,Emission,Demory et al. 2012,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,
55 Cnc e,Emission,Hu et al. 2024,9,Mid-Infrared Instrument (MIRI),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,6.5825,11.4545,2460027.5,2460027.5,Fig. 3
55 Cnc e,Emission,Hu et al. 2024,21,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.965,4.965,2459907.5,2459907.5,Relative eclipse depths offset by 60 ppm (Fig 3)
55 Cnc e,Transmission,de Mooij et al. 2014,8,ALFOSC,Nordic Optical Telescope,0.4735,0.656,,,
55 Cnc e,Transmission,Demory et al. 2011,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,2455568.0265,2455568.0265,
55 Cnc e,Transmission,Demory et al. 2016,6,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,2455567.5,2456484.5,
55 Cnc e,Transmission,Tsiaras et al. 2016,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.6376,,,
CoRoT-1 b,Emission,Gillon et al. 2009,1,High Acuity Wide-field K-band Imager (HAWK-I),European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,2.095,2.095,,,Table 1
CoRoT-1 b,Emission,Rogers et al. 2009,1,Near-Infrared Camera & Fabry-Perot Spectrometer (NIC-FPS),Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO),2.147,2.147,,,Table 3
CoRoT-1 b,Emission,Deming et al. 2011,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 1
CoRoT-1 b,Emission,Zhao et al. 2012,1,Wide-field InfraRed Camera (WIRC),Palomar Observatory 200-inch Hale Telescope,1.635,1.635,,,
